Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z3, 8, 8, 720, 6968.000000, 0.051103, 136352.073264,136352.000000, 1.000000, 2, 17.578289, 196974.484980, 196974.484980
Z3, 9, 8, 720, 7968.000000, 0.061665, 129214.303089,129208.000000, 1.000000, 2, 17.578289, 195546.930945, 195546.930945
Z3, 10, 8, 720, 14248.000000, 1.095328, 13007.975693,13000.000000, 1.000000, 2, 17.578289, 172305.665466, 172305.665466
Z3, 11, 8, 720, 19448.000000, 0.317871, 61182.051839,61176.000000, 1.000000, 2, 17.578289, 181940.480695, 181940.480695
Z3, 12, 8, 720, 17344.000000, 0.078418, 221173.710118,221168.000000, 1.000000, 2, 17.578289, 213938.812351, 213938.812351
Z3, 13, 8, 720, 11952.000000, 0.049500, 241454.545455,241448.000000, 1.000000, 2, 17.578289, 217994.979418, 217994.979418
Z3, 14, 8, 720, 25224.000000, 0.049711, 507412.846251,507408.000000, 1.000000, 2, 17.578289, 271186.639578, 271186.639578
Z3, 15, 8, 720, 35992.000000, 0.048419, 743344.554824,743344.000000, 1.000000, 2, 17.578289, 318372.981292, 318372.981292
Z3, 16, 8, 720, 20016.000000, 0.056834, 352183.552099,352176.000000, 1.000000, 2, 17.578289, 240140.780747, 240140.780747
Z3, 17, 8, 720, 36432.000000, 0.049035, 742979.504436,742976.000000, 1.000000, 2, 17.578289, 318299.971215, 318299.971215
Z3, 18, 8, 720, 22472.000000, 0.048038, 467796.327907,467792.000000, 1.000000, 2, 17.578289, 263263.335909, 263263.335909
Z3, 19, 8, 720, 12752.000000, 0.044518, 286445.931983,286440.000000, 1.000000, 2, 17.578289, 226993.256724, 226993.256724
Z3, 20, 8, 720, 18720.000000, 0.048202, 388365.627982,388360.000000, 1.000000, 2, 17.578289, 247377.195924, 247377.195924
Z3, 21, 8, 720, 47160.000000, 0.048469, 972993.047102,972992.000000, 1.000000, 2, 17.578289, 364302.679748, 364302.679748
Z3, 22, 8, 720, 39472.000000, 0.049402, 798995.992065,798992.000000, 1.000000, 2, 17.578289, 329503.268741, 329503.268741
Z3, 23, 8, 720, 26968.000000, 0.049162, 548553.761035,548552.000000, 1.000000, 2, 17.578289, 279414.822535, 279414.822535
Z3, 24, 8, 720, 39776.000000, 0.053616, 741868.099075,741864.000000, 1.000000, 2, 17.578289, 318077.690143, 318077.690143
Z3, 25, 8, 720, 34992.000000, 0.048840, 716461.916462,716456.000000, 1.000000, 2, 17.578289, 312996.453620, 312996.453620
Z3, 26, 8, 720, 22464.000000, 0.049786, 451211.183867,451208.000000, 1.000000, 2, 17.578289, 259946.307101, 259946.307101
Z3, 27, 8, 720, 43144.000000, 0.071499, 603421.026868,603416.000000, 1.000000, 2, 17.578289, 290388.275701, 290388.275701
Z3, 28, 8, 720, 43672.000000, 0.338676, 128949.202187,128944.000000, 1.000000, 2, 17.578289, 195493.910765, 195493.910765
